Column1;Column2;Column3;Column4;Column5;Column6
C1;1552;2360;18000; 10nF; C1210
C10;3795;3340;18000; 1uF; C1210
C11;3795;3923;18000; 10pF; C1210
C12;3795;4240;18000; 10pF; C1210
C13;4720;480;27000; 1uF; C1210
C14;6740;730;27000; 100pF; C1210
C15;5170;480;27000; 1uF; C1210
C16;4805;1450;18000; 10pF; C1210
C17;4805;1860;0; 10pF; C1210
C19;4805;1040;18000; 1uF; C1210
C25;8180;3330;0; 100pF; C1210
C3;1293;879;27000; 1uF; C1210
C33;6320;3740;18000; 10pF; C1210
C34;6310;4053;18000; 10pF; C1210
C4;1458;378;18000; 10uF; C1210
C40;6440;3190;27000; 1uF; C1210
C5;1536;4647;9000; 1uF; C1210
C55;2450;1620;9000; 47uF; C1210
C6;1534;4064;27000; 10uF; C1210
C7;2804;4053;27000; 47uF; C1210
C8;3795;2960;18000; 1uF; C1210
C9;5640;3324;0; 100pF; C1210
R1;1185;2687;0; 105k; RESC2012X65
R2;1515;2682;0; 1.24M; RESC2012X65
U1;1368;1585;27000; TPS7A3301RGWR; RGW0020A
U11;7243;3684;0; INA110KU; SO-G16G6.9
U2;2139;4479;18000; Value; RGW0020A
U3;4753;3684;0; INA110KU; SO-G16G6.9
U4;5843;1295;0; INA110KU; SO-G16G6.9
